epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4033.93,0.82728,2.05686,1.36114,0.55181,0.6387,0.55704,0.40034,0.84729,1.59483,1.47065,0.000369006,0.000369006,0.000369006
2,4140.63,0.88893,1.53024,1.3891,0.45633,0.67348,0.54048,0.3694,0.95593,1.68085,1.57047,0.0007247,0.0007247,0.0007247
3,4246.76,0.903,1.38507,1.39206,0.62618,0.66515,0.63489,0.4446,0.93045,1.29143,1.53538,0.00106573,0.00106573,0.00106573
4,4351.61,0.90872,1.29208,1.3958,0.57251,0.71094,0.65851,0.48035,0.85358,1.31327,1.45517,0.00104501,0.00104501,0.00104501
5,4456.54,0.87053,1.19331,1.36497,0.67996,0.72569,0.72447,0.56138,0.76466,1.02439,1.36692,0.00102301,0.00102301,0.00102301
6,4560.68,0.86896,1.14414,1.37208,0.62077,0.75626,0.68986,0.54177,0.72256,1.06613,1.3218,0.00100101,0.00100101,0.00100101
7,4664.16,0.83517,1.12528,1.35032,0.63262,0.75061,0.694,0.54213,0.73186,1.03543,1.33082,0.000979013,0.000979013,0.000979013
8,4768,0.80883,1.06062,1.32981,0.65963,0.76142,0.71915,0.55853,0.73468,0.98621,1.32771,0.000957015,0.000957015,0.000957015
9,4870.97,0.7915,1.03816,1.31521,0.63816,0.71169,0.70565,0.53884,0.81198,1.01389,1.42859,0.000935018,0.000935018,0.000935018
10,4973.94,0.78455,1.01845,1.31024,0.69058,0.75098,0.73417,0.57616,0.71487,0.91999,1.30425,0.00091302,0.00091302,0.00091302
11,5077.49,0.77666,0.97025,1.30969,0.69373,0.75535,0.72642,0.59281,0.62685,0.89526,1.24103,0.000891022,0.000891022,0.000891022
12,5180.21,0.75617,0.96281,1.29729,0.68521,0.75294,0.74099,0.58866,0.70897,0.95407,1.35744,0.000869024,0.000869024,0.000869024
13,5283.76,0.73787,0.94959,1.28075,0.72947,0.79988,0.79246,0.65004,0.61508,0.799,1.22645,0.000847026,0.000847026,0.000847026
14,5388.93,0.74331,0.93598,1.28496,0.76501,0.75231,0.79277,0.65999,0.59011,0.79032,1.19418,0.000825029,0.000825029,0.000825029
15,5494.89,0.72008,0.91738,1.27159,0.73693,0.77258,0.76681,0.60264,0.70265,0.85514,1.29037,0.000803031,0.000803031,0.000803031
16,5601.55,0.71231,0.894,1.27175,0.70684,0.78968,0.78495,0.64098,0.63333,0.84119,1.23492,0.000781033,0.000781033,0.000781033
17,5704.9,0.70375,0.8663,1.25733,0.7377,0.77169,0.79032,0.66301,0.55296,0.78357,1.15477,0.000759035,0.000759035,0.000759035
18,5809.7,0.69708,0.86649,1.25711,0.73501,0.78403,0.78287,0.64721,0.58996,0.83217,1.1907,0.000737037,0.000737037,0.000737037
19,5916.23,0.68804,0.84712,1.24963,0.76952,0.80077,0.80978,0.67436,0.58487,0.7524,1.18102,0.00071504,0.00071504,0.00071504
20,6020.1,0.68306,0.82227,1.24942,0.77454,0.81138,0.81478,0.68374,0.55748,0.73018,1.15876,0.000693042,0.000693042,0.000693042
21,6123.65,0.67314,0.81833,1.23783,0.7343,0.80972,0.81388,0.68277,0.5527,0.7549,1.15674,0.000671044,0.000671044,0.000671044
22,6226.63,0.66293,0.79485,1.22863,0.75415,0.8109,0.80204,0.68489,0.51804,0.74593,1.12967,0.000649046,0.000649046,0.000649046
23,6332.18,0.65865,0.79266,1.22111,0.78601,0.82202,0.82944,0.7011,0.53456,0.71963,1.13892,0.000627048,0.000627048,0.000627048
24,6439.02,0.64588,0.78357,1.22003,0.77472,0.81605,0.821,0.69531,0.53694,0.7523,1.13569,0.000605051,0.000605051,0.000605051
25,6545.66,0.64165,0.75971,1.21489,0.77278,0.8039,0.81294,0.69492,0.51101,0.71567,1.12109,0.000583053,0.000583053,0.000583053
26,6648.51,0.63587,0.76406,1.2187,0.78679,0.81393,0.83694,0.72081,0.49922,0.67768,1.10026,0.000561055,0.000561055,0.000561055
27,6750.11,0.63232,0.74918,1.20949,0.81188,0.83596,0.84065,0.72204,0.49841,0.65775,1.10759,0.000539057,0.000539057,0.000539057
28,6851.97,0.63377,0.7387,1.21257,0.76218,0.8591,0.83788,0.71425,0.51176,0.66507,1.12324,0.000517059,0.000517059,0.000517059
29,6954.16,0.63276,0.71275,1.20639,0.79268,0.82824,0.8404,0.71027,0.5094,0.66139,1.11058,0.000495062,0.000495062,0.000495062
30,7056.85,0.62008,0.73256,1.20482,0.78513,0.83557,0.8383,0.72295,0.48989,0.67675,1.09358,0.000473064,0.000473064,0.000473064
31,7159.81,0.61244,0.7148,1.20081,0.79439,0.83419,0.84158,0.72485,0.48891,0.65395,1.10009,0.000451066,0.000451066,0.000451066
32,7262.85,0.6055,0.71327,1.19121,0.79926,0.83062,0.83801,0.72919,0.46575,0.66391,1.07727,0.000429068,0.000429068,0.000429068
33,7366.5,0.60285,0.69765,1.18973,0.81507,0.85469,0.84966,0.73618,0.476,0.63697,1.09033,0.00040707,0.00040707,0.00040707
34,7470.66,0.59244,0.68708,1.18406,0.79383,0.84097,0.84532,0.73555,0.47012,0.64779,1.07686,0.000385073,0.000385073,0.000385073
35,7575.1,0.58587,0.68165,1.17975,0.81615,0.83826,0.84496,0.73062,0.47408,0.64614,1.08135,0.000363075,0.000363075,0.000363075
36,7680.81,0.57973,0.67094,1.1747,0.81434,0.83542,0.84129,0.7325,0.46482,0.64096,1.07534,0.000341077,0.000341077,0.000341077
37,7785.63,0.57791,0.66142,1.17112,0.78953,0.85271,0.84279,0.73102,0.46464,0.64225,1.08019,0.000319079,0.000319079,0.000319079
38,7888.99,0.56694,0.65064,1.16586,0.81145,0.84718,0.84343,0.735,0.45222,0.64125,1.06569,0.000297081,0.000297081,0.000297081
39,7993.94,0.56755,0.65969,1.16787,0.80512,0.84118,0.84848,0.7422,0.45424,0.65406,1.07044,0.000275084,0.000275084,0.000275084
40,8099.42,0.56023,0.65005,1.15592,0.79326,0.85658,0.84326,0.73558,0.46105,0.64593,1.07098,0.000253086,0.000253086,0.000253086
41,8202.71,0.44887,0.50808,1.15015,0.81757,0.8401,0.83931,0.73848,0.44404,0.62757,1.05258,0.000231088,0.000231088,0.000231088
42,8304.59,0.42428,0.46439,1.12138,0.81978,0.84706,0.85497,0.75238,0.44434,0.60722,1.05721,0.00020909,0.00020909,0.00020909
43,8404.92,0.41803,0.46022,1.117,0.82252,0.84798,0.8506,0.75155,0.42844,0.61501,1.04252,0.000187092,0.000187092,0.000187092
44,8505.57,0.41465,0.45002,1.11533,0.81011,0.86502,0.85628,0.76251,0.41648,0.60389,1.03248,0.000165095,0.000165095,0.000165095
